id,trip_id,date,city,city_clean,city_status,has_description,themes,description
ACT-001035,TRIP-47247,2020-04-08,Lisboa,Lisboa,limpo,True,Gastronomia|Natureza & Paisagem|Praia & Mar|Arquitetura,"Pela manhã, visita ao Parque das Nações, moderno bairro ribeirinho com arquitetura contemporânea. À tarde, barco pelo Rio Tejo até Cacilhas para uma vista única sobre Lisboa. Para encerrar, jantar de peixe fresco com vista para o rio."
ACT-000251,TRIP-79541,2020-07-20,Orlando,Orlando,limpo,True,Gastronomia|Natureza & Paisagem|Parques Temáticos,"Neste dia, recomendamos o Epcot pela manhã — uma viagem ao redor do mundo em um único parque. À tarde, Animal Kingdom com o safári pela savana africana. Para encerrar, jantar em um dos restaurantes temáticos internacionais do Epcot."
ACT-002579,TRIP-52872,2021-11-16,Amsterdam,Amsterdam,limpo,True,Gastronomia|Arte & Museus|Compras,"Neste dia, recomendamos o Museu Van Gogh pela manhã. À tarde, exploração do bairro de Jordaan, com suas boutiques e cafés. Para encerrar, degustação de queijos e genebre em estabelecimento tradicional."
ACT-003526,TRIP-32396,2022-11-10,Londres,Londres,limpo,True,Gastronomia|História & Cultura,"Pela manhã, visita à National Gallery em Trafalgar Square. Em seguida, Piccadilly Circus e a famosa Fortnum & Mason. À tarde, passeio pelo Hyde Park e visita ao Palácio de Kensington. Jantar em South Kensington."
ACT-003534,TRIP-48513,2022-11-06,Florença,Florença,limpo,True,Arte & Museus,"Neste dia, recomendamos a Galleria dell'Accademia para ver o David de Michelangelo. Em seguida, visita ao Palazzo Vecchio e à Piazza della Signoria. À tarde, passeio pelo bairro de Santo Spirito e suas adegas tradicionais."
ACT-000354,TRIP-56210,2021-01-24,Tokyo,Tokyo,limpo,True,Gastronomia|Natureza & Paisagem|Aventura,"Para este dia, sugerimos excursão ao Monte Fuji e ao Lago Ashi, com vista para o vulcão mais famoso do Japão. De volta a Tóquio, jantar de sushi omakase em restaurante tradicional."
ACT-003741,TRIP-38189,2019-02-15,Dubai,Dubai,limpo,True,Gastronomia|Natureza & Paisagem|Praia & Mar|Compras|Arquitetura,"Pela manhã, exploração do Souk Madinat Jumeirah, um mercado árabe tradicional em cenário moderno. À tarde, cruzeiro pelo Dubai Creek ao entardecer. Para encerrar, jantar em restaurante de culinária árabe contemporânea."
ACT-003931,TRIP-74819,2021-08-23,Veneza,Veneza,limpo,True,História & Cultura|Aventura,"Para este dia, sugerimos uma excursão a Verona, cidade de Romeu e Julieta, a apenas uma hora de Veneza. Visita ao anfiteatro romano, à Casa de Julieta e ao centro histórico medieval. De volta, aperitivo veneziano — cicchetti e Spritz."
ACT-004234,TRIP-46287,2018-06-24,Florença,Florença,limpo,True,Arte & Museus,"Neste dia, recomendamos a Galleria dell'Accademia para ver o David de Michelangelo. Em seguida, visita ao Palazzo Vecchio e à Piazza della Signoria. À tarde, passeio pelo bairro de Santo Spirito e suas adegas tradicionais."
ACT-002321,TRIP-53410,2020-11-12,Amsterdam,Amsterdam,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Praia & Mar|Arquitetura,"Pela manhã, visita ao Rijksmuseum, com as obras-primas de Rembrandt e Vermeer. Em seguida, passeio de barco pelos canais históricos. À tarde, Casa de Anne Frank — uma visita emocionante e necessária. Jantar em restaurante holandês contemporâneo."
ACT-004268,TRIP-84620,2023-06-05,Dubai,Dubai,limpo,True,Arte & Museus|Compras|Vida Noturna|Bem-estar,"Neste dia livre, recomendamos visita ao Dubai Museum para entender a rápida transformação da cidade. À tarde, experiência de compras no Dubai Mall. Para encerrar, o show de fontes dançantes em frente ao Burj Khalifa."
ACT-000299,TRIP-29773,2022-08-17,Madrid,Madri,normalizado,True,História & Cultura,"Neste dia, recomendamos começar pela Plaza Mayor, centro histórico de Madri. Em seguida, visita ao Palácio Real e seus jardins. À tarde, passeio pelo bairro de La Latina com suas tascas tradicionais. Para encerrar, flamenco ao vivo."
